disciplina;link
Engenharia de Software;https://www.qconcursos.com/questoes-de-concursos/questoes?discipline_ids%5B%5D=100&exclude_nullified=true&exclude_outdated=true&has_commentaries=true&subject_ids%5B%5D=5291
Legislação do Ministério Público;https://www.qconcursos.com/questoes-de-concursos/disciplinas/direito-legislacao-do-ministerio-publico/lei-complementar-n-75-de-1993/questoes
